,ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL,HIS
2std,3,6,1,9,0,3,3,7,4,7,4,2,8,2,5,2,4,3,5,6
2tmn,5,1,6,6,0,0,5,8,6,3,0,1,2,1,4,4,1,4,5,3
2toh,5,4,0,2,4,2,4,4,2,10,1,0,3,3,4,4,1,3,6,3
2tpi,3,0,1,2,5,3,0,13,1,3,6,0,0,2,8,3,1,4,5,1
2usn,6,1,2,3,0,0,1,6,3,6,1,1,5,6,2,1,0,4,2,7
2ypi,7,1,4,0,2,1,3,12,5,7,2,0,4,1,3,2,1,3,2,1
3aid,2,2,2,3,0,0,0,7,5,7,2,1,1,3,0,3,0,0,3,0
3gss,2,5,6,3,3,4,2,6,4,9,4,1,2,3,2,4,1,6,7,0
3gst,3,5,7,3,1,6,2,2,7,12,3,5,3,4,4,2,3,6,3,1
3jdw,6,4,6,6,1,2,0,3,3,3,1,4,3,4,5,3,4,2,2,2
3kiv,1,4,3,2,2,2,1,1,1,1,0,1,1,2,0,3,3,2,0,2
3pcb,4,5,3,4,1,3,1,5,5,1,1,1,1,5,2,4,3,6,2,2
3pcc,4,4,3,4,1,3,1,5,6,1,1,1,1,6,2,4,3,5,2,2
3pce,4,7,4,3,1,3,1,6,5,1,1,1,1,6,2,3,3,6,2,4
3pcf,4,5,3,4,1,3,1,5,6,1,1,1,1,6,3,4,3,5,2,2
3pcg,4,6,4,4,1,3,1,6,6,1,1,0,1,6,2,4,3,5,2,4
3pch,4,5,3,4,1,3,1,5,6,1,1,1,1,6,2,4,3,6,2,2
3pcj,4,6,4,4,1,3,1,5,6,1,1,1,1,6,2,4,3,6,2,2
3pck,4,6,4,4,1,3,1,5,6,1,1,1,1,6,2,4,3,6,2,2
3pcn,4,7,4,4,1,3,1,6,6,1,1,1,1,6,2,4,3,6,2,4
3std,3,7,1,7,0,3,4,8,5,8,4,2,7,2,5,2,4,2,5,6
3tlh,1,1,2,3,0,1,0,6,5,5,1,1,1,3,0,3,0,0,4,0
456c,6,0,1,6,0,0,2,6,1,8,0,2,7,6,3,2,2,4,1,5
4er1,4,0,3,13,0,4,3,16,11,10,1,0,8,2,14,9,3,5,3,0
4er2,3,0,2,11,0,2,2,16,10,9,0,0,7,1,12,7,2,5,2,0
4fiv,1,4,4,3,1,2,1,7,4,7,3,2,1,2,1,2,0,0,1,0
4rsk,8,2,3,2,4,1,2,0,3,1,2,2,3,2,1,3,0,0,5,3
4std,3,8,1,9,0,3,4,8,4,7,5,2,7,2,5,2,4,3,5,6
4tim,9,2,4,0,2,1,3,12,4,4,3,0,3,1,3,2,2,3,5,1
4tln,5,1,6,5,0,0,4,6,5,3,0,1,2,1,4,3,1,4,5,3
4tmk,11,10,1,7,0,4,9,12,3,15,2,2,3,2,2,7,0,4,7,1
4tmn,5,2,6,6,0,3,6,10,7,5,0,1,2,1,7,7,1,7,6,3
4ts1,4,1,3,4,2,3,1,11,6,8,2,2,2,2,3,3,2,5,1,2
5abp,5,3,3,8,1,4,4,4,3,5,1,3,1,6,4,7,1,0,6,1
5er1,4,0,2,9,0,2,1,11,8,8,0,0,5,0,11,7,3,4,1,0
5er2,4,0,3,12,0,5,3,16,10,10,1,0,8,2,15,8,4,5,4,0
5fiv,1,3,4,3,1,2,0,7,5,7,1,2,0,1,0,2,0,0,0,0
5std,3,8,1,9,0,4,4,8,4,7,4,2,7,2,4,2,4,2,5,6
5tln,5,1,7,5,0,1,6,10,5,3,0,1,2,1,5,5,1,5,5,3
5tmn,5,2,6,7,0,2,5,9,6,5,0,1,2,1,6,6,1,5,5,3
5tmp,10,11,2,6,0,4,10,12,3,13,2,2,3,3,3,6,0,4,7,1
5yas,1,2,3,3,2,3,3,7,4,10,4,1,6,0,4,7,2,3,2,4
6abp,5,3,3,7,1,4,4,3,3,5,1,2,1,6,4,5,1,0,5,1
6cpa,5,6,2,4,0,2,3,8,7,6,2,0,4,1,11,7,4,8,0,2
6fiv,1,3,4,3,1,1,0,7,4,7,1,2,0,1,0,2,0,0,2,0
6rnt,2,1,5,1,0,0,2,5,2,1,1,0,1,3,4,2,1,5,4,2
6std,3,7,1,8,0,3,4,7,4,7,5,2,7,2,5,2,4,2,5,6
6tim,10,1,4,0,2,1,3,11,5,5,3,0,3,1,3,2,2,3,6,1
7abp,5,3,3,8,1,4,3,3,3,6,1,2,1,6,4,4,1,0,6,1
7cpa,5,6,2,4,1,2,3,8,7,7,2,0,4,1,11,7,4,8,0,2
7hvp,2,2,2,3,0,1,0,7,5,7,2,1,1,3,0,4,0,0,5,0
7std,3,6,1,9,0,3,4,7,4,7,5,2,7,2,5,2,4,3,5,6
7upj,2,2,2,3,0,1,1,6,5,5,1,1,1,3,0,3,0,0,3,0
830c,6,0,1,6,0,0,2,5,1,8,0,2,7,5,3,2,2,4,1,6
8abp,6,3,3,8,1,4,4,4,3,6,1,2,1,6,4,5,1,0,7,1
8cpa,5,6,2,4,0,2,3,8,7,7,3,0,4,1,11,7,4,8,0,2
966c,7,1,2,6,0,2,3,5,1,6,0,1,4,3,6,1,2,3,2,6
9abp,6,3,3,9,1,4,5,5,3,4,1,3,1,5,4,5,1,0,8,1
